date,kop_p10,kop_p50,kop_p90
2025-12-25,1333.8871192729907,1764.5914685185298,1924.948832662118
2025-12-26,1464.8204569940053,1876.7730454737448,2039.4407614173801
2025-12-27,1407.5719814224808,1825.126936328199,1948.595773386431
2025-12-29,1600.0725295186887,2101.721955420291,2238.041651495708
2025-12-30,1397.7907252796185,1701.0050245676052,1994.0611697433624
2025-12-31,1422.56623601984,1721.1232435970362,1970.8961226060355
2026-01-01,1386.7820414767684,1673.0278281160404,1873.7813228338387
2026-01-02,1340.4969468085349,1624.5750530482132,1807.1834325760037
2026-01-03,1381.1196247448293,1661.8113042740524,1832.9858699303868
2026-01-05,1180.1876027077024,1400.971468239826,1601.620602870119
2026-01-06,1110.7589834881064,1340.7694206014305,1524.0452815225922
2026-01-07,1219.3998345012262,1429.4208857555502,1622.630149825127
2026-01-09,1231.0860536880875,1443.7283413972011,1609.817981079203
2026-01-10,1045.626817963316,1234.838324792712,1436.935623765372
2026-01-12,1116.1235581375013,1335.15958815416,1500.709173776045
2026-01-13,1067.5652714519283,1254.2874502253437,1521.0661083873888
2026-01-16,1047.4678679885706,1238.7141554945615,1485.1532915925648
2026-01-20,1094.5071907983076,1269.4423889152476,1585.4982554835815
2026-01-21,1059.8197013288557,1244.7413863955153,1549.3024881836336
2026-01-22,1057.9348239115413,1239.8625130090945,1540.3684689237882
2026-01-27,916.4468214544632,1098.1444160500891,1288.5733096175127
2026-01-28,937.610059787201,1118.233462836236,1361.9225513461874
2026-01-29,888.3997677051949,1057.5313270880577,1360.9382032168305
2026-01-30,835.8231791059878,1005.7213792235509,1311.4143544250244
2026-01-31,772.2246103065185,950.4430622268036,1213.6169061641533
2026-02-02,751.7517910686747,984.4908850882965,1211.9310152681
2026-02-03,743.7040842897522,959.2815474536076,1170.8061736177958
2026-02-04,736.5627452073063,989.8455010410172,1244.0503752103618
2026-02-05,708.6863220869759,957.6631722772935,1192.4212486862646
2026-02-06,712.840385814274,978.7130155032789,1213.9575626597664
2026-02-07,726.848446637344,1030.1014078022426,1263.088298802657
2026-02-09,723.1078855130169,1051.5654560997916,1273.5464889239097
2026-02-10,781.4532581534295,1086.1275045416385,1399.2426144163264
2026-02-11,772.2806259271824,1078.161620083375,1487.1931446096598
2026-02-12,824.4897743117033,1065.5937778811967,1488.4330810834992
2026-02-13,737.136062553669,1036.5348378832673,1455.3674439969568
2026-02-16,738.2360453069974,1000.2301484443536,1406.3496850550607
2026-02-17,760.1698073976016,989.1962485942109,1247.1318886692447
2026-02-19,719.186935943654,935.2483732768778,1270.5740481347518
2026-02-20,760.8472827633111,972.8283282939911,1312.3839224025958
2026-02-21,707.7075418523037,932.7586855431174,1232.605678168943
2026-02-23,705.7553365906185,928.6078957797155,1160.7941779546454
2026-02-24,633.0473867051052,846.3879980678278,1058.7335171905693
2026-02-25,634.6559969696856,819.5263675585289,1051.9219776776054
2026-02-26,692.4253753936797,906.0484073460728,1153.40415077165
2026-02-27,636.926577256239,849.7228449324742,1054.0293855652353
2026-02-28,534.7207361135313,745.6022904345946,943.3531590933449
2026-03-05,657.0937015442115,840.3505853666516,1044.1596119705873
2026-03-06,645.1873593456982,844.4632557178163,1008.918047770321
2026-03-07,629.5370213491593,775.616991078512,973.8048915888066
2026-03-09,623.4556690680224,778.9925328532532,949.7224562800058
2026-03-10,630.6335633998123,811.3853204572952,976.1810942883058
2026-03-11,634.6803158863099,823.5219748048102,988.8659450480334
2026-03-12,632.6600908309615,823.3233526684295,971.3357163587935
2026-03-13,634.54529076911,827.0965039153974,954.6089772229457
2026-03-14,629.4476427993723,834.9037800565638,943.6132036800929
2026-03-17,608.0580618133564,801.456524701156,892.5177700741103
2026-03-18,609.4910785762384,799.4964640260525,894.4806151425759
2026-03-19,601.914365085623,769.6847231402152,894.5213519945484
2026-03-20,592.248763505262,753.0558657653593,866.213786843926
2026-03-23,605.276184201027,795.482510805441,895.1378401340497
2026-03-24,623.9176741541443,766.1766511284328,898.6930828602409
2026-03-25,611.9741957995435,760.4708502185233,881.5470579621782
2026-04-02,639.6760816889034,838.4473601989498,950.091456590493
2026-04-03,693.5495561377176,904.9220473588492,1035.3571566961766
2026-04-04,584.7333692206327,823.6036702131153,963.3821219125549
2026-04-06,654.8041400991024,867.4874988798375,962.2916595427844
2026-04-07,550.865489097257,753.8800535903086,860.9928124602532
2026-04-08,556.0055548416337,719.1532771210836,793.1646700364134
2026-04-09,587.0583647002085,717.3007526809238,827.3074785506255
2026-04-10,597.9088030366315,725.5273742123865,844.5477771499469
2026-04-11,574.3478151663131,694.8412131340921,795.7431235040865
2026-04-13,548.1783263587116,679.4190295376291,756.5123343447317
2026-04-14,591.6542696096265,723.2222881741118,797.139077097817
2026-04-15,443.54796094761446,576.4643477378619,649.3608650511833
2026-04-16,490.81299312122775,599.1157870965129,651.4296403353788
2026-04-17,731.1512687349675,899.6740152957235,1020.2457069748459
2026-04-20,775.9993634677719,921.3652003381592,1075.1146419422632
2026-04-21,761.3002372361514,900.0536009772449,1001.2414133330776
2026-04-22,789.4929549986764,946.4792945567549,1068.5489646041374
2026-04-23,767.0150587581886,934.5279717709825,1111.075251295453
2026-04-24,753.5085051113263,905.1728127373418,1118.6682804892832
2026-04-25,835.5940943377417,1008.1321306401269,1208.842491914807
