date,price,target_date,actual_future_price,p10,p50,p90
2025-09-26,1170.0,,1151.0,1059.3939691046173,1290.2079043537515,1588.50702884231
2025-09-27,1125.0,,1100.0,1018.8339068593053,1234.8037096689827,1521.1927465909707
2025-09-29,1100.0,,1060.0,994.6791938556721,1201.800620681013,1467.4783927315373
2025-09-30,1200.0,,1080.0,1085.4778985493447,1310.357759440454,1608.85750752274
2025-10-02,1200.0,,1100.0,961.950254600937,1323.9508426195562,1646.3188544256025
2025-10-03,1200.0,,1060.0,937.6433355364057,1245.0315839139585,1604.2455390568005
2025-10-04,1180.0,,1050.0,924.1027533108933,1225.6727632721943,1572.7961329273226
2025-10-06,1151.0,,1075.0,904.5057444424867,1210.3888889171753,1536.4972204924973
2025-10-07,1100.0,,1100.0,885.3308746587203,1204.4656129111943,1490.3248638942227
2025-10-08,1060.0,,1280.0,855.9858862982995,1168.4443801225457,1445.5280441155264
2025-10-09,1080.0,,1350.0,874.7264732509077,1180.3650781390202,1461.3160079833153
2025-10-13,1100.0,,1401.0,882.0477136926842,1280.8237200107178,1485.518750538803
2025-10-14,1060.0,,1550.0,859.299899762856,1175.1182042726298,1447.4659801738321
2025-10-15,1050.0,,1710.0,847.5631402613188,1128.9716914805458,1418.85114853501
2025-10-16,1075.0,,1550.0,866.5603016647123,1164.9539158972286,1462.1926378758358
2025-10-24,1100.0,,1600.0,878.2271357457766,1179.9039938012472,1373.4254832722036
2025-10-27,1280.0,,1725.0,1007.7271444967887,1488.72524928924,1553.773680210736
2025-10-28,1350.0,,1724.9999999999998,1100.943855711412,1576.5414968341763,1713.8292344610577
2025-10-29,1401.0,,1701.0,1142.390214295457,1576.0088171348566,1866.4474150161768
2025-10-30,1550.0,,1650.0,1283.9025341574977,1807.5383362921718,2115.74131226958
2025-10-31,1710.0,,1500.0,1425.2444497467832,1865.3101447588383,2325.9214000266443
2025-11-01,1550.0,,1525.0,1253.2391237494348,1508.5115519357132,1993.9457674963598
2025-11-03,1600.0,,1500.0,1290.815843505119,1638.7123909213926,2151.3135985082686
2025-11-05,1725.0,,1500.0,1445.3832284977275,1739.1285543707731,2312.3865511941503
2025-11-07,1725.0,,1425.0,1481.2627277955266,1739.0736924482799,2165.586194289353
2025-11-08,1701.0,,1501.0,1382.4047566771044,1708.1173134076773,2124.1659862692613
2025-11-10,1650.0,,1301.0,1296.9611275570087,1621.9608056544762,2033.9784922637355
2025-11-12,1500.0,,1351.0,1189.9122241612301,1499.1407375616618,1901.4116469905427
2025-11-13,1525.0,,1100.0,1286.11933655261,1553.1730568175726,1951.957459733183
2025-11-14,1500.0,,2000.0,1241.483728078652,1513.5706815541348,1923.6369546101985
2025-11-15,1500.0,,2100.0,1242.7393851392537,1501.377087135731,1925.5301371835212
2025-11-17,1425.0,,2000.0,1160.6627131975981,1425.4628308203983,1791.555324467447
2025-11-19,1501.0,,1800.0,1247.047245123527,1516.3797194163847,1893.7940738046384
2025-11-20,1301.0,,3100.0,1085.221827869852,1295.208796593675,1675.8717296697641
2025-11-21,1351.0,,2500.0,1165.9008975914328,1345.4134093107352,1805.037186451848
2025-11-22,1100.0,,3000.0,915.1309077890156,1090.9867401768445,1502.7235796947937
2025-11-24,2000.0,,2700.0,1699.7282849190601,1936.3058150173454,2582.295391819537
2025-11-26,2100.0,,2500.0,1695.6643170728041,2021.0937127134555,2835.4657493245763
2025-11-27,2000.0,,2200.0,1619.99360894837,1909.0579742795796,2582.623757327065
2025-11-28,1800.0,,2400.0,1447.623041298271,1725.0817152381617,2275.1951032117254
